['Tad-Dwieli,35|53/04@N,14|28/35@E,6314,Budistas Zen']
['Tad-Duluri,35|53/16@N,14|29/26@E,5296,Evangelicos']
['Tad-Dawl,35|51/03@N,14|28/20@E,3246,Testigos de Jeova', '(35|53/04@N-14|28/35@E)']
['Tac-Cawla,35|51/25@N,14|29/22@E,3647,Budistas', '(35|53/16@N-14|29/26@E)']
["Ta' Xbiex,35|53/57@N,14|29/40@E,4585,Bahas", '(35|51/25@N-14|29/22@E)']
["Ta' Sardina,36|02/45@N,14|17/04@E,1941,Bahas", '(35|51/25@N-14|29/22@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E) (35|53/04@N-14|28/35@E)']
["Ta' San Niklaw,35|50/08@N,14|26/30@E,7052,Catolicos", '(36|02/45@N-14|17/04@E) (35|53/57@N-14|29/40@E) (35|51/03@N-14|28/20@E) (35|53/04@N-14|28/35@E)']
["Ta' San Gwakkin,35|53/12@N,14|27/57@E,6625,Budistas", '(35|53/57@N-14|29/40@E) (35|53/04@N-14|28/35@E)']
["Ta' San Girgor,35|51/10@N,14|32/13@E,2592,Judios", '(35|50/08@N-14|26/30@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E)']
["Ta' Qali,35|53/39@N,14|25/38@E,6048,Budistas Zen", '(35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|53/16@N-14|29/26@E)']
["Ta' Penza,35|52/30@N,14|31/17@E,8121,Catolicos", '(35|50/08@N-14|26/30@E) (36|02/45@N-14|17/04@E) (35|51/25@N-14|29/22@E) (35|53/04@N-14|28/35@E)']
["Ta' Monita,35|51/58@N,14|33/53@E,3567,Bahas", '(35|53/12@N-14|27/57@E) (35|50/08@N-14|26/30@E) (35|51/25@N-14|29/22@E) (35|51/03@N-14|28/20@E) (35|53/04@N-14|28/35@E)']
["Ta' Mlit,35|54/13@N,14|25/43@E,1984,Budistas", '(35|51/58@N-14|33/53@E) (35|52/30@N-14|31/17@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E) (35|53/04@N-14|28/35@E)']
["Ta' Lampuka,35|52/01@N,14|30/31@E,3463,Musulmanes", '(35|51/58@N-14|33/53@E) (35|52/30@N-14|31/17@E) (35|51/10@N-14|32/13@E) (35|53/12@N-14|27/57@E) (35|51/03@N-14|28/20@E)']
["Ta' l-Infetti,35|52/29@N,14|26/37@E,3388,Budistas", '(35|53/12@N-14|27/57@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|51/03@N-14|28/20@E) (35|53/04@N-14|28/35@E)']
["Ta' l-Imghajjen,36|02/19@N,14|15/11@E,6011,Evangelicos", '(35|54/13@N-14|25/43@E) (35|52/30@N-14|31/17@E) (35|53/12@N-14|27/57@E) (35|51/25@N-14|29/22@E) (35|53/04@N-14|28/35@E)']
["Ta' l-Ibrag,35|54/56@N,14|27/52@E,5463,Testigos de Jeova", '(35|51/10@N-14|32/13@E) (36|02/45@N-14|17/04@E) (35|53/57@N-14|29/40@E) (35|51/03@N-14|28/20@E) (35|53/04@N-14|28/35@E)']
["Ta' l-Abatija,35|54/27@N,14|21/01@E,4395,Bahas", '(35|51/10@N-14|32/13@E) (35|53/12@N-14|27/57@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E) (35|53/04@N-14|28/35@E)']
["Ta' Kappara,35|54/32@N,14|29/03@E,7016,Bahas", '(35|52/01@N-14|30/31@E) (35|51/58@N-14|33/53@E) (35|53/39@N-14|25/38@E) (35|53/12@N-14|27/57@E) (35|51/03@N-14|28/20@E)']
["Ta' Kandja,35|50/58@N,14|28/02@E,5971,Evangelicos", '(35|54/13@N-14|25/43@E) (35|51/10@N-14|32/13@E) (35|50/08@N-14|26/30@E) (35|51/03@N-14|28/20@E) (35|53/04@N-14|28/35@E)']
["Ta' Hida,36|02/43@N,14|17/04@E,6291,Testigos de Jeova", '(35|51/10@N-14|32/13@E) (35|50/08@N-14|26/30@E) (36|02/45@N-14|17/04@E) (35|53/57@N-14|29/40@E) (35|51/03@N-14|28/20@E)']
["Ta' Haxxluq,35|50/48@N,14|26/42@E,3750,Evangelicos", '(36|02/19@N-14|15/11@E) (35|52/29@N-14|26/37@E) (35|52/30@N-14|31/17@E) (35|53/12@N-14|27/57@E) (35|50/08@N-14|26/30@E)']
["Ta' Hamet,36|02/24@N,14|15/53@E,1180,Budistas Zen", '(35|53/39@N-14|25/38@E) (35|53/57@N-14|29/40@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E) (35|53/04@N-14|28/35@E)']
